factory_id,factory_name,layout_id,layout_name,canvas_width,canvas_length,scale_ratio,layout_version_id,version_number,area_id,area_name,area_pos_x,area_pos_y,area_width,area_length,line_id,line_name,line_pos_x,line_pos_y,line_width,line_length,line_type,ws_id,ws_name,ws_sequence,ws_pos_x,ws_pos_y,ws_width,ws_length,machine_id,machine_name,machine_pos_x,machine_pos_y,machine_width,machine_length,flow_id,from_ws_id,to_ws_id,arrow_type,flow_label,detail
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,10,Press Shop,100,100,800,600,LN10,Press Shop Line,100,100,800,600,Straight,1001,Press Shop WC1,1,80,140,13.333333333333334,13.333333333333334,M1001,Press Shop WC1,,,,,F1001,1001,1002,AMBER_DASHED,INTRA,Process detail for Press Shop WC1
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,10,Press Shop,100,100,800,600,LN10,Press Shop Line,100,100,800,600,Straight,1002,Press Shop WC2,2,120,140,13.333333333333334,13.333333333333334,M1002,Press Shop WC2,,,,,F1002,1002,1003,AMBER_DASHED,INTRA,Process detail for Press Shop WC2
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,10,Press Shop,100,100,800,600,LN10,Press Shop Line,100,100,800,600,Straight,1003,Press Shop WC3,3,160,140,13.333333333333334,13.333333333333334,M1003,Press Shop WC3,,,,,F1003,1003,1004,AMBER_DASHED,INTRA,Process detail for Press Shop WC3
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,10,Press Shop,100,100,800,600,LN10,Press Shop Line,100,100,800,600,Straight,1004,Press Shop WC4,4,200,140,13.333333333333334,13.333333333333334,M1004,Press Shop WC4,,,,,F1004,1004,1005,AMBER_DASHED,INTRA,Process detail for Press Shop WC4
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,10,Press Shop,100,100,800,600,LN10,Press Shop Line,100,100,800,600,Straight,1005,Press Shop WC5,5,240,140,13.333333333333334,13.333333333333334,M1005,Press Shop WC5,,,,,F1005,1005,1006,AMBER_DASHED,INTRA,Process detail for Press Shop WC5
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,10,Press Shop,100,100,800,600,LN10,Press Shop Line,100,100,800,600,Straight,1006,Press Shop WC6,6,280,140,13.333333333333334,13.333333333333334,M1006,Press Shop WC6,,,,,F1006,1006,1007,AMBER_DASHED,INTRA,Process detail for Press Shop WC6
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,10,Press Shop,100,100,800,600,LN10,Press Shop Line,100,100,800,600,Straight,1007,Press Shop WC7,7,320,140,13.333333333333334,13.333333333333334,M1007,Press Shop WC7,,,,,F_INTER_10,1007,2001,RED_DASHED,INTER,Process detail for Press Shop WC7
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,20,Body Shop,1100,100,800,600,LN20,Body Shop Line,1100,100,800,600,Straight,2001,Body Shop WC1,1,480,140,13.333333333333334,13.333333333333334,M2001,Body Shop WC1,,,,,F2001,2001,2002,AMBER_DASHED,INTRA,Process detail for Body Shop WC1
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,20,Body Shop,1100,100,800,600,LN20,Body Shop Line,1100,100,800,600,Straight,2002,Body Shop WC2,2,520,140,13.333333333333334,13.333333333333334,M2002,Body Shop WC2,,,,,F2002,2002,2003,AMBER_DASHED,INTRA,Process detail for Body Shop WC2
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,20,Body Shop,1100,100,800,600,LN20,Body Shop Line,1100,100,800,600,Straight,2003,Body Shop WC3,3,560,140,13.333333333333334,13.333333333333334,M2003,Body Shop WC3,,,,,F2003,2003,2004,AMBER_DASHED,INTRA,Process detail for Body Shop WC3
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,20,Body Shop,1100,100,800,600,LN20,Body Shop Line,1100,100,800,600,Straight,2004,Body Shop WC4,4,600,140,13.333333333333334,13.333333333333334,M2004,Body Shop WC4,,,,,F2004,2004,2005,AMBER_DASHED,INTRA,Process detail for Body Shop WC4
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,20,Body Shop,1100,100,800,600,LN20,Body Shop Line,1100,100,800,600,Straight,2005,Body Shop WC5,5,640,140,13.333333333333334,13.333333333333334,M2005,Body Shop WC5,,,,,F2005,2005,2006,AMBER_DASHED,INTRA,Process detail for Body Shop WC5
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,20,Body Shop,1100,100,800,600,LN20,Body Shop Line,1100,100,800,600,Straight,2006,Body Shop WC6,6,680,140,13.333333333333334,13.333333333333334,M2006,Body Shop WC6,,,,,F2006,2006,2007,AMBER_DASHED,INTRA,Process detail for Body Shop WC6
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,20,Body Shop,1100,100,800,600,LN20,Body Shop Line,1100,100,800,600,Straight,2007,Body Shop WC7,7,720,140,13.333333333333334,13.333333333333334,M2007,Body Shop WC7,,,,,F_INTER_20,2007,3001,RED_DASHED,INTER,Process detail for Body Shop WC7
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,30,Paint Shop,2100,100,800,600,LN30,Paint Shop Line,2100,100,800,600,Straight,3001,Paint Shop WC1,1,880,140,13.333333333333334,13.333333333333334,M3001,Paint Shop WC1,,,,,F3001,3001,3002,AMBER_DASHED,INTRA,Process detail for Paint Shop WC1
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,30,Paint Shop,2100,100,800,600,LN30,Paint Shop Line,2100,100,800,600,Straight,3002,Paint Shop WC2,2,920,140,13.333333333333334,13.333333333333334,M3002,Paint Shop WC2,,,,,F3002,3002,3003,AMBER_DASHED,INTRA,Process detail for Paint Shop WC2
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,30,Paint Shop,2100,100,800,600,LN30,Paint Shop Line,2100,100,800,600,Straight,3003,Paint Shop WC3,3,960,140,13.333333333333334,13.333333333333334,M3003,Paint Shop WC3,,,,,F3003,3003,3004,AMBER_DASHED,INTRA,Process detail for Paint Shop WC3
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,30,Paint Shop,2100,100,800,600,LN30,Paint Shop Line,2100,100,800,600,Straight,3004,Paint Shop WC4,4,1000,140,13.333333333333334,13.333333333333334,M3004,Paint Shop WC4,,,,,F3004,3004,3005,AMBER_DASHED,INTRA,Process detail for Paint Shop WC4
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,30,Paint Shop,2100,100,800,600,LN30,Paint Shop Line,2100,100,800,600,Straight,3005,Paint Shop WC5,5,1040,140,13.333333333333334,13.333333333333334,M3005,Paint Shop WC5,,,,,F3005,3005,3006,AMBER_DASHED,INTRA,Process detail for Paint Shop WC5
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,30,Paint Shop,2100,100,800,600,LN30,Paint Shop Line,2100,100,800,600,Straight,3006,Paint Shop WC6,6,1080,140,13.333333333333334,13.333333333333334,M3006,Paint Shop WC6,,,,,F3006,3006,3007,AMBER_DASHED,INTRA,Process detail for Paint Shop WC6
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,30,Paint Shop,2100,100,800,600,LN30,Paint Shop Line,2100,100,800,600,Straight,3007,Paint Shop WC7,7,1120,140,13.333333333333334,13.333333333333334,M3007,Paint Shop WC7,,,,,F_INTER_30,3007,4001,RED_DASHED,INTER,Process detail for Paint Shop WC7
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,40,Engine Assembly,100,900,800,600,LN40,Engine Assembly Line,100,900,800,600,Straight,4001,Engine Assembly WC1,1,80,460,13.333333333333334,13.333333333333334,M4001,Engine Assembly WC1,,,,,F4001,4001,4002,AMBER_DASHED,INTRA,Process detail for Engine Assembly WC1
F001,Global Motors Plant,L001,Main Production Floor,5000,4000,1,V001,1,40,Engine Assembly,100,900,800,600,LN40,Engine Assembly Line,100,900,800,600,Straight,4002,Engine Assembly WC2,2,120,460,13.333333333333334,13.333333333333334,M4002,Engine Assembly WC2,,,,,F4002,4002,4003,AMBER_DASHED,INTRA,Process detail for Engine Assembly WC2
