factory_id,factory_name,layout_id,layout_name,canvas_width,canvas_length,scale_ratio,layout_version_id,version_number,area_id,area_name,area_pos_x,area_pos_y,area_width,area_length,line_id,line_name,line_pos_x,line_pos_y,line_width,line_length,ws_id,ws_name,ws_sequence,ws_pos_x,ws_pos_y,ws_width,ws_length,machine_id,machine_name,machine_pos_x,machine_pos_y,machine_width,machine_length,flow_id,from_ws_id,to_ws_id,arrow_type,flow_label
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,11,Chassis Assembly,10,10,60,30,201,Chassis Assembly Line,16.0,18.0,48,14,1001,Frame Mounting,1,23.0,21.0,10,8,5001,Frame Mounting Machine,25.5,23.0,5,4,9001.0,1001.0,1002.0,Conveyor,Vehicle Flow
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,11,Chassis Assembly,10,10,60,30,201,Chassis Assembly Line,16.0,18.0,48,14,1002,Suspension Install,2,35.0,21.0,10,8,5002,Suspension Install Machine,37.5,23.0,5,4,9002.0,1002.0,1003.0,Conveyor,Vehicle Flow
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,11,Chassis Assembly,10,10,60,30,201,Chassis Assembly Line,16.0,18.0,48,14,1003,Brake System Fit,3,47.0,21.0,10,8,5003,Brake System Fit Machine,49.5,23.0,5,4,9003.0,1003.0,1004.0,Conveyor,Vehicle Flow
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,12,Body Welding,80,10,60,30,202,Body Welding Line,86.0,18.0,48,14,1004,Body Alignment,1,93.0,21.0,10,8,5004,Body Alignment Machine,95.5,23.0,5,4,9004.0,1004.0,1005.0,Conveyor,Vehicle Flow
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,12,Body Welding,80,10,60,30,202,Body Welding Line,86.0,18.0,48,14,1005,Spot Welding,2,105.0,21.0,10,8,5005,Spot Welding Machine,107.5,23.0,5,4,9005.0,1005.0,1006.0,Conveyor,Vehicle Flow
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,12,Body Welding,80,10,60,30,202,Body Welding Line,86.0,18.0,48,14,1006,Structural Inspection,3,117.0,21.0,10,8,5006,Structural Inspection Machine,119.5,23.0,5,4,9006.0,1006.0,1007.0,Conveyor,Vehicle Flow
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,13,Paint Shop,10,55,60,30,203,Paint Shop Line,16.0,63.0,48,14,1007,Primer Coating,1,23.0,66.0,10,8,5007,Primer Coating Machine,25.5,68.0,5,4,9007.0,1007.0,1008.0,Conveyor,Vehicle Flow
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,13,Paint Shop,10,55,60,30,203,Paint Shop Line,16.0,63.0,48,14,1008,Color Coating,2,35.0,66.0,10,8,5008,Color Coating Machine,37.5,68.0,5,4,9008.0,1008.0,1009.0,Conveyor,Vehicle Flow
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,13,Paint Shop,10,55,60,30,203,Paint Shop Line,16.0,63.0,48,14,1009,Drying Oven,3,47.0,66.0,10,8,5009,Drying Oven Machine,49.5,68.0,5,4,9009.0,1009.0,1010.0,Conveyor,Vehicle Flow
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,14,Engine Mounting,80,55,60,30,204,Engine Mounting Line,86.0,63.0,48,14,1010,Engine Placement,1,93.0,66.0,10,8,5010,Engine Placement Machine,95.5,68.0,5,4,9010.0,1010.0,1011.0,Conveyor,Vehicle Flow
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,14,Engine Mounting,80,55,60,30,204,Engine Mounting Line,86.0,63.0,48,14,1011,Transmission Mount,2,105.0,66.0,10,8,5011,Transmission Mount Machine,107.5,68.0,5,4,9011.0,1011.0,1012.0,Conveyor,Vehicle Flow
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,14,Engine Mounting,80,55,60,30,204,Engine Mounting Line,86.0,63.0,48,14,1012,Interior Assembly,3,117.0,66.0,10,8,5012,Interior Assembly Machine,119.5,68.0,5,4,9012.0,1012.0,1013.0,Conveyor,Vehicle Flow
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,15,Final Assembly,145,25,45,50,205,Final Assembly Line,151.0,43.0,33,14,1013,Wheel Mounting,1,154.25,46.0,10,8,5013,Wheel Mounting Machine,156.75,48.0,5,4,9013.0,1013.0,1014.0,Conveyor,Vehicle Flow
101,Pune Compact SUV Manufacturing Plant,202,SUV_Main_Assembly_Floor,160,100,1,1,1,15,Final Assembly,145,25,45,50,205,Final Assembly Line,151.0,43.0,33,14,1014,Quality Inspection,2,162.5,46.0,10,8,5014,Quality Inspection Machine,165.0,48.0,5,4,,,,,
